[2026-06-25 19:28:42] system info:
    hostname: i305
    platform: Linux-6.8.0-83-generic-x86_64-with-glibc2.35
    python: 3.10.12
    torch: 2.9.1+cu128
    world_size: 8
    cuda: 12.8
    cudnn: 91002
    gpu_name: NVIDIA B200
    gpus_visible: 8
    gpu_mem_gib: 178.35
    gpu_capability: 10.0
    gpu_sm_count: 148
    nvidia_driver: 580.82.07
    cpu_affinity: 64
    cpu_cores_logical: 768
    cpu_cores_physical: 384
    ram_total_gib: 3022.95
    ram_available_gib: 2940.91
[2026-06-25 19:28:42] GPU-hour budget: 192 GPU-h on 8 ranks => wall-clock cutoff 24.000h (clock starts after step 0; checked every step).
[2026-06-25 20:02:12] step 000235 | loss 1.169432 | lrm 1.0000 | dt_ms 7052.1
[2026-06-25 20:02:19] step 000236 | loss 1.302931 | lrm 1.0000 | dt_ms 7115.4
[2026-06-25 20:02:26] step 000237 | loss 1.101678 | lrm 1.0000 | dt_ms 7276.1
[2026-06-25 20:02:33] step 000238 | loss 1.039601 | lrm 1.0000 | dt_ms 7107.8
[2026-06-25 20:02:40] step 000239 | loss 0.936353 | lrm 1.0000 | dt_ms 7317.5
[2026-06-25 20:02:47] step 000240 | loss 0.661293 | lrm 1.0000 | dt_ms 7068.1
[2026-06-25 20:02:55] step 000241 | loss 0.873633 | lrm 1.0000 | dt_ms 7313.9
[2026-06-25 20:03:02] step 000242 | loss 1.315058 | lrm 1.0000 | dt_ms 7245.6
[2026-06-25 20:03:09] step 000243 | loss 0.869936 | lrm 1.0000 | dt_ms 7064.3
[2026-06-25 20:03:16] step 000244 | loss 0.608641 | lrm 1.0000 | dt_ms 7155.5
[2026-06-25 20:03:23] step 000245 | loss 1.127476 | lrm 1.0000 | dt_ms 6951.5
